frame,Tx,Ty,Tz,qw,qx,qy,qz
0,0.4615185856819153,0.4137212634086609,0.31862369179725647,0.4173465371131897,0.2808323800563812,-0.49355313181877136,-0.7094789147377014
1,0.4615185856819153,0.41312795877456665,0.31862369179725647,0.41761350631713867,0.28101813793182373,-0.4934474527835846,-0.7093217968940735
2,0.4615185856819153,0.41137465834617615,0.31862369179725647,0.4184022545814514,0.2815668284893036,-0.4931345582008362,-0.7088568210601807
3,0.4615185856819153,0.40850138664245605,0.31862369179725647,0.4196948707103729,0.2824661135673523,-0.4926200211048126,-0.7080922722816467
4,0.4615185856819153,0.40454813838005066,0.31862369179725647,0.42147278785705566,0.28370293974876404,-0.49190863966941833,-0.707035481929779
5,0.4615185856819153,0.39955490827560425,0.31862369179725647,0.4237174987792969,0.285264790058136,-0.4910046458244324,-0.7056924700737
6,0.4615185856819153,0.3935616910457611,0.31862369179725647,0.426410436630249,0.28713855147361755,-0.4899112582206726,-0.7040686011314392
7,0.4615185856819153,0.3866085410118103,0.31862369179725647,0.429532915353775,0.28931134939193726,-0.4886312782764435,-0.7021679878234863
8,0.4615185856819153,0.37873536348342896,0.31862369179725647,0.43306565284729004,0.2917698919773102,-0.48716723918914795,-0.699994683265686
9,0.4615185856819153,0.3699822425842285,0.31862369179725647,0.4369896352291107,0.2945009171962738,-0.4855210781097412,-0.6975517868995667
10,0.4615185856819153,0.3603891134262085,0.31862369179725647,0.4412848651409149,0.2974907457828522,-0.4836949408054352,-0.694842517375946
11,0.4615185856819153,0.34999603033065796,0.31862369179725647,0.4459315836429596,0.3007255792617798,-0.48169034719467163,-0.6918696165084839
12,0.4615185856819153,0.3388429284095764,0.31862369179725647,0.4509095251560211,0.3041916787624359,-0.4795091152191162,-0.6886356472969055
13,0.4615185856819153,0.32696986198425293,0.31862369179725647,0.4561980366706848,0.3078744411468506,-0.47715291380882263,-0.6851435899734497
14,0.4615185856819153,0.3144168257713318,0.31862369179725647,0.4617761969566345,0.3117595613002777,-0.47462359070777893,-0.681396484375
15,0.4615185856819153,0.3012237846851349,0.31862369179725647,0.46762263774871826,0.3158321976661682,-0.4719233214855194,-0.677397608757019
16,0.4615185856819153,0.2874307334423065,0.31862369179725647,0.47371575236320496,0.320077508687973,-0.46905428171157837,-0.6731506586074829
17,0.4615185856819153,0.27307772636413574,0.31862369179725647,0.480033278465271,0.3244801163673401,-0.4660196304321289,-0.6686601638793945
18,0.4615185856819153,0.25820472836494446,0.31862369179725647,0.48655325174331665,0.3290245532989502,-0.46282219886779785,-0.6639310121536255
19,0.4615185856819153,0.24285176396369934,0.31862369179725647,0.4932529032230377,0.33369535207748413,-0.4594659209251404,-0.6589689254760742
20,0.4615185856819153,0.2270587682723999,0.31862369179725647,0.5001095533370972,0.3384768068790436,-0.4559550881385803,-0.653780460357666
21,0.4615185856819153,0.2108658105134964,0.31862369179725647,0.5071002840995789,0.3433527648448944,-0.45229464769363403,-0.6483731269836426
22,0.4615185856819153,0.19431284070014954,0.31862369179725647,0.5142022371292114,0.34830763936042786,-0.44849011301994324,-0.642755389213562
23,0.4615185856819153,0.17743989825248718,0.31862369179725647,0.5213924646377563,0.3533253073692322,-0.4445478022098541,-0.6369367241859436
24,0.4615185856819153,0.16028691828250885,0.31862369179725647,0.5286479592323303,0.3583899736404419,-0.4404749870300293,-0.6309276819229126
25,0.4615185856819153,0.14289399981498718,0.31862369179725647,0.5359463691711426,0.3634859323501587,-0.43627914786338806,-0.624739944934845
26,0.4615185856819153,0.1253010332584381,0.31862369179725647,0.543265163898468,0.3685976266860962,-0.4319690465927124,-0.6183862090110779
27,0.4615185856819153,0.10754814743995667,0.31862369179725647,0.5505822896957397,0.3737097680568695,-0.4275541305541992,-0.611880362033844
28,0.4615185856819153,0.08967520296573639,0.31862369179725647,0.5578765273094177,0.3788074851036072,-0.4230442941188812,-0.6052373051643372
29,0.4615185856819153,0.07172228395938873,0.31862369179725647,0.5651269555091858,0.38387608528137207,-0.41845032572746277,-0.598473072052002
30,0.4615185856819153,0.05372932553291321,0.31862369179725647,0.5723131895065308,0.38890159130096436,-0.4137839376926422,-0.5916046500205994
31,0.4615185856819153,0.035736411809921265,0.31862369179725647,0.579416036605835,0.39387044310569763,-0.4090571701526642,-0.5846498012542725
32,0.4615185856819153,0.017783448100090027,0.31862369179725647,0.5864169597625732,0.39876940846443176,-0.40428268909454346,-0.5776275396347046
33,0.4615185856819153,-8.946657180786133e-05,0.31862369179725647,0.5932980179786682,0.40358632802963257,-0.39947423338890076,-0.5705574750900269
34,0.4615185856819153,-0.017842411994934082,0.31862369179725647,0.6000427603721619,0.4083094894886017,-0.3946453630924225,-0.5634599328041077
35,0.4615185856819153,-0.03543528914451599,0.31862369179725647,0.606635570526123,0.41292789578437805,-0.38981038331985474,-0.5563557147979736
36,0.4615185856819153,-0.05282828211784363,0.31862369179725647,0.613061785697937,0.4174312353134155,-0.3849841058254242,-0.549266517162323
37,0.4615185856819153,-0.06998121738433838,0.31862369179725647,0.6193079948425293,0.4218100309371948,-0.38018131256103516,-0.542214035987854
