time,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,x,y,z,qw,qx,qy,qz
1691406519.4002237,-0.07160510938808119,-0.35180521071582954,0.05032926733553574,-2.2772792104641613,-0.12252837814887364,1.8823491738180125,0.9423925136576096,0.4405840880379769,-0.017133762509935285,0.4918664505209261,0.06932107036761521,0.8923055139934589,-0.4459694504763064,0.009834029785316974
1691406519.501339,-0.07160870247916246,-0.3518035393039287,0.05032592657208442,-2.2772792014198546,-0.12252644536892573,1.8823510251551405,0.9423960740417241,0.44058488087835007,-0.017133533820705468,0.49186735200723886,0.0693202329654326,0.8923059910750926,-0.4459686213394422,0.009834244948760005
1691406519.6010218,-0.07160703383589918,-0.35180521071051235,0.05032397773025328,-2.2772775308709394,-0.12252883405817878,1.8823503171173321,0.9423974981953699,0.4405852017765901,-0.01713544508703303,0.4918667126082335,0.06932029142289067,0.8923045912276624,-0.4459714202608135,0.009833919952531847
1691406519.7010877,-0.07160341262133928,-0.3517999210023043,0.05032397773025328,-2.277281118991547,-0.12252705572048823,1.8823484220107405,0.9423925136576096,0.4405847109679432,-0.01713479289184975,0.49186574257337656,0.0693220190055752,0.8923047600911647,-0.44597084179344354,0.009832653237404027
1691406519.8010762,-0.07160247811955722,-0.35180354027997424,0.05032230729439802,-2.2772828205844813,-0.12252776779731114,1.8823487695920122,0.9423946498880783,0.4405850431313921,-0.01713433001158763,0.49186571357902953,0.06932103021142486,0.892305091495428,-0.44597032117276947,0.009833163011938394
1691406519.900303,-0.07160509376400129,-0.35180354027999067,0.050325926572078926,-2.2772792287788945,-0.12252776779731114,1.8823478452935483,0.9423974981953699,0.44058466532489743,-0.01713445338411007,0.491866628257432,0.06932097419513818,0.8923055214844388,-0.4459694502847385,0.009834036696538512
1691406520.0009015,-0.07160341163476511,-0.35180354027999067,0.05032592657208442,-2.277279201306795,-0.12252705572048823,1.8823510136643598,0.942396786118547,0.4405849981091906,-0.01713374534924042,0.4918668768992645,0.06932057174471873,0.8923056407962048,-0.4459692408825018,0.009835543856071454
1691406520.1009195,-0.07160341298206235,-0.35180354027999067,0.05032592657208442,-2.277279201306795,-0.12252648486006898,1.88235172014295,0.9423960740417241,0.4405843426843697,-0.01713457027833033,0.4918673422024668,0.06932073849471584,0.8923047734194938,-0.4459709680841306,0.009834743181013825
1691406520.2001803,-0.07160918820594946,-0.3518014134089265,0.05032926646946205,-2.2772808718557043,-0.12252705572048823,1.8823498510118675,0.942396786118547,0.4405846407548363,-0.01713497823055204,0.49186874503498645,0.06931995882536775,0.8923045208643025,-0.44597158846451784,0.009835020895335878
1691406520.301172,-0.07160703127781996,-0.3518035373638053,0.05032397773025328,-2.277282857213953,-0.12252573329210281,1.8823492581498447,0.9423960740417241,0.44058513135963423,-0.017133263222800246,0.49186659344272343,0.06932149638175683,0.8923065169523734,-0.44596738458709306,0.009833708774702483
1691406520.4003084,-0.0716094248497198,-0.3518018698441354,0.05032397773025328,-2.2772828205844813,-0.12252644536892573,1.8823507143050109,0.9423932257344324,0.4405844947127016,-0.017134332802334964,0.4918648803015502,0.06932194095873895,0.8923051161135345,-0.4459701560998555,0.009831995097398242
1691406520.5007958,-0.07160532320412581,-0.3518035402799906,0.05032397773025328,-2.2772808717428075,-0.12252705572048823,1.882349147169516,0.9423974981953699,0.4405841677171483,-0.017136184478807055,0.49186561748142,0.06932158801594766,0.8923039797918215,-0.44597246741801355,0.009832771110559826
1691406520.6009955,-0.07160703091379211,-0.3517999122537488,0.05032592657208442,-2.2772844910203367,-0.12252644536892573,1.8823494892383639,0.9423960740417241,0.44058457293001024,-0.017135302011786726,0.49186660576648344,0.06932049883700049,0.8923044319540153,-0.44597171242745887,0.009833660088259194
1691406520.7013578,-0.07160730569043762,-0.351805210715846,0.05032397773025328,-2.2772792013068006,-0.12252837814887364,1.882352606109554,0.9423974981953699,0.440584816881705,-0.01713429753409554,0.49186251020694527,0.06932266818018241,0.8923049832884525,-0.4459703621175835,0.009829577187561018
1691406520.8008611,-0.07160435869040027,-0.35180186984408607,0.05032397773025326,-2.2772808992189426,-0.12252705572048823,1.882351300271593,0.942396786118547,0.4405849704892635,-0.017132762421385037,0.49186519424408365,0.06932105153259581,0.8923058221151658,-0.445968841669047,0.009833813815693981
