frame,Tx,Ty,Tz,qw,qx,qy,qz
0,0.30000001192092896,0.0,0.30000001192092896,2.1073420342077043e-08,-0.7071066498756409,0.70710688829422,0.0
1,0.30000001192092896,0.0,0.3001648187637329,0.00015084355254657567,0.7071066498756409,-0.7071069478988647,-0.00015084355254657567
2,0.30000001192092896,0.0,0.300651878118515,0.0005965465097688138,0.7071064710617065,-0.7071065902709961,-0.0005965464515611529
3,0.30000001192092896,0.0,0.3014500141143799,0.0013271622592583299,0.7071053981781006,-0.7071056365966797,-0.0013271833304315805
4,0.30000001192092896,0.0,0.3025481402873993,0.002332701813429594,0.70710289478302,-0.7071030735969543,-0.002332701813429594
5,0.30000001192092896,0.0,0.3039351999759674,0.003603282617405057,0.7070975303649902,-0.7070976495742798,-0.003603324294090271
6,0.30000001192092896,0.0,0.30560001730918884,0.005129061173647642,0.7070881128311157,-0.7070883512496948,-0.0051291030831635
7,0.30000001192092896,0.0,0.3075315058231354,0.0069002616219222546,0.7070730328559875,-0.7070732116699219,-0.0069003039970994
8,0.30000001192092896,0.0,0.309718519449234,0.008907103911042213,0.7070505619049072,-0.7070508003234863,-0.008907082490622997
9,0.30000001192092896,0.0,0.3121500313282013,0.01113966666162014,0.7070189714431763,-0.7070191502571106,-0.011139688082039356
10,0.30000001192092896,0.0,0.31481483578681946,0.0135883130133152,0.7069761157035828,-0.7069763541221619,-0.013588333502411842
11,0.30000001192092896,0.0,0.31770187616348267,0.016242995858192444,0.7069200873374939,-0.7069203853607178,-0.016243036836385727
12,0.30000001192092896,0.0,0.3208000063896179,0.019094018265604973,0.7068488597869873,-0.7068490982055664,-0.019094061106443405
13,0.30000001192092896,0.0,0.324098140001297,0.022131390869617462,0.7067602276802063,-0.7067605257034302,-0.022131413221359253
14,0.30000001192092896,0.0,0.3275851905345917,0.025345100089907646,0.7066524028778076,-0.7066525220870972,-0.025345096364617348
15,0.30000001192092896,0.0,0.33125001192092896,0.02872505784034729,0.7065230011940002,-0.7065231800079346,-0.028725039213895798
16,0.30000001192092896,0.0,0.3350814878940582,0.032261140644550323,0.7063704133033752,-0.7063705921173096,-0.032261185348033905
17,0.30000001192092896,0.0,0.33906853199005127,0.035943154245615005,0.7061925530433655,-0.7061928510665894,-0.03594319149851799
18,0.30000001192092896,0.0,0.3431999981403351,0.03976079076528549,0.7059879302978516,-0.7059882283210754,-0.03976081311702728
19,0.30000001192092896,0.0,0.34746482968330383,0.04370364919304848,0.705754816532135,-0.7057550549507141,-0.04370366781949997
20,0.30000001192092896,0.0,0.35185185074806213,0.0477612279355526,0.7054917812347412,-0.7054920792579651,-0.04776129126548767
21,0.30000001192092896,0.0,0.35635000467300415,0.051923103630542755,0.7051977515220642,-0.7051979899406433,-0.051923125982284546
22,0.30000001192092896,0.0,0.3609481453895569,0.056178443133831024,0.7048715353012085,-0.7048717737197876,-0.056178513914346695
23,0.30000001192092896,0.0,0.3656351864337921,0.060516729950904846,0.704512357711792,-0.7045125365257263,-0.060516685247421265
24,0.30000001192092896,0.0,0.3704000413417816,0.06492700427770615,0.7041195034980774,-0.7041198015213013,-0.06492709368467331
25,0.30000001192092896,0.0,0.37523147463798523,0.0693986639380455,0.7036927938461304,-0.703693151473999,-0.06939874589443207
26,0.30000001192092896,0.0,0.3801185190677643,0.0739208236336708,0.7032322883605957,-0.70323246717453,-0.07392081618309021
27,0.30000001192092896,0.0,0.3850499987602234,0.0784824788570404,0.7027377486228943,-0.7027381062507629,-0.0784825012087822
28,0.30000001192092896,0.0,0.3900148272514343,0.08307281136512756,0.7022098898887634,-0.7022102475166321,-0.08307287842035294
29,0.30000001192092896,0.0,0.3950018584728241,0.08768092840909958,0.7016493082046509,-0.7016497254371643,-0.08768094331026077
30,0.30000001192092896,0.0,0.3999999761581421,0.09229589253664017,0.7010572552680969,-0.7010575532913208,-0.09229595214128494
31,0.30000001192092896,0.0,0.40499815344810486,0.09690690040588379,0.7004348039627075,-0.7004350423812866,-0.09690696746110916
32,0.30000001192092896,0.0,0.409985214471817,0.10150308907032013,0.699783444404602,-0.6997838616371155,-0.10150319337844849
33,0.30000001192092896,0.0,0.41495001316070557,0.10607363283634186,0.6991053819656372,-0.6991055607795715,-0.10607368499040604
34,0.30000001192092896,0.0,0.4198814630508423,0.1106078252196312,0.6984022855758667,-0.6984025835990906,-0.11060788482427597
35,0.30000001192092896,0.0,0.42476850748062134,0.1150951161980629,0.6976767778396606,-0.6976771354675293,-0.11509513854980469
36,0.30000001192092896,0.0,0.4296000301837921,0.11952480673789978,0.6969316601753235,-0.6969318389892578,-0.11952487379312515
37,0.30000001192092896,0.0,0.43436479568481445,0.12388650327920914,0.6961694359779358,-0.6961697936058044,-0.1238865926861763
38,0.30000001192092896,0.0,0.4390518367290497,0.12816989421844482,0.6953936219215393,-0.695393979549408,-0.1281699687242508
39,0.30000001192092896,0.0,0.44364994764328003,0.13236470520496368,0.6946073174476624,-0.694607675075531,-0.13236477971076965
40,0.30000001192092896,0.0,0.4481481909751892,0.1364608258008957,0.6938142776489258,-0.6938145756721497,-0.13646087050437927
41,0.30000001192092896,0.0,0.4525352120399475,0.14044822752475739,0.6930181384086609,-0.6930184364318848,-0.14044827222824097
